language_name,code
азербайджанский,az
албанский,sq
амхарский,am
английский,en
арабский,ar
армянский,hy
африкаанс,af
баскский,eu
белорусский,be
бенгальский,bn
бирманский,my
болгарский,bg
боснийский,bs
валлийский,cy
венгерский,hu
вьетнамский,vi
гавайский,haw
галисийский,gl
греческий,el
грузинский,ka
гуджарати,gu
датский,da
зулу,zu
иврит,he
игбо,ig
идиш,yi
индонезийский,id
ирландский,ga
исландский,is
испанский,es
итальянский,it
йоруба,yo
казахский,kk
каннада,kn
каталанский,ca
киргизский,ky
китайский,zh
корейский,ko
корсиканский,co
креольский,ht
курманджи,ku
кхмерский,km
кхоса,xh
лаосский,lo
латинский,la
латышский,lv
литовский,lt
люксембургский,lb
македонский,mk
малагасийский,mg
малайский,ms
малаялам,ml
мальтийский,mt
маори,mi
маратхи,mr
монгольский,mn
немецкий,de
непальский,ne
нидерландский,nl
норвежский,no
панджаби,pa
персидский,fa
польский,pl
португальский,pt
пушту,ps
румынский,ro
русский,ru
самоанский,sm
себуанский,ceb
сербский,sr
сесото,st
сингальский,si
синдхи,sd
словацкий,sk
словенский,sl
сомалийский,so
суахили,sw
сунданский,su
таджикский,tg
тайский,th
тамильский,ta
телугу,te
турецкий,tr
узбекский,uz
украинский,uk
урду,ur
филиппинский,fl
финский,fi
французский,fr
фризский,fy
хауса,ha
хинди,hi
хмонг,hmn
хорватский,hr
чева,ny
чешский,cs
шведский,sv
шона,sn
шотландский,gd
эсперанто,eo
эстонский,et
яванский,jv
японский,ja
